Group,Scale,Type,Error_Percentage,PAI,F1_Score
Group_1,Grid_100,Baseline,0,10.3123,1
Group_1,Grid_100,Centroid,100,9.9313,0.9067
Group_1,Grid_100,Random,100,9.9099,0.9035
Group_1,Grid_300,Baseline,0,10.3123,1
Group_1,Grid_300,Centroid,100,9.6979,0.7531
Group_1,Grid_300,Random,100,8.6123,0.7503
Group_1,Grid_500,Baseline,0,10.3123,1
Group_1,Grid_500,Centroid,100,6.3994,0.461
Group_1,Grid_500,Random,100,6.8299,0.6409
Group_1,Neighborhood,Baseline,0,10.3123,1
Group_1,Neighborhood,Centroid,100,3.475,0.1166
Group_1,Neighborhood,Random,100,5.1021,0.4192
Group_1,Street,Baseline,0,10.3123,1
Group_1,Street,Centroid,100,6.453,0.3259
Group_1,Street,Random,100,7.1876,0.5893
Group_1,Tract,Baseline,0,10.3123,1
Group_1,Tract,Centroid,100,5.0524,0.2583
Group_1,Tract,Random,100,7.0324,0.5601
Group_10,Grid_100,Baseline,0,11.4388,1
Group_10,Grid_100,Centroid,100,11.1613,0.8839
Group_10,Grid_100,Random,100,11.1252,0.8804
Group_10,Grid_300,Baseline,0,11.4388,1
Group_10,Grid_300,Centroid,100,11.027,0.7318
Group_10,Grid_300,Random,100,9.9537,0.7309
Group_10,Grid_500,Baseline,0,11.4388,1
Group_10,Grid_500,Centroid,100,6.8846,0.4401
Group_10,Grid_500,Random,100,7.5727,0.5847
Group_10,Neighborhood,Baseline,0,11.4388,1
Group_10,Neighborhood,Centroid,100,2.9722,0.1001
Group_10,Neighborhood,Random,100,4.8404,0.3426
Group_10,Street,Baseline,0,11.4388,1
Group_10,Street,Centroid,100,5.3659,0.2753
Group_10,Street,Random,100,7.3476,0.5444
Group_10,Tract,Baseline,0,11.4388,1
Group_10,Tract,Centroid,100,4.422,0.2292
Group_10,Tract,Random,100,7.2868,0.4525
Group_11,Grid_100,Baseline,0,11.0049,1
Group_11,Grid_100,Centroid,100,10.9137,0.8771
Group_11,Grid_100,Random,100,10.8994,0.8782
Group_11,Grid_300,Baseline,0,11.0049,1
Group_11,Grid_300,Centroid,100,10.4205,0.7298
Group_11,Grid_300,Random,100,9.4941,0.738
Group_11,Grid_500,Baseline,0,11.0049,1
Group_11,Grid_500,Centroid,100,6.2876,0.4308
Group_11,Grid_500,Random,100,6.9059,0.577
Group_11,Neighborhood,Baseline,0,11.0049,1
Group_11,Neighborhood,Centroid,100,3.3263,0.0943
Group_11,Neighborhood,Random,100,4.4242,0.3499
Group_11,Street,Baseline,0,11.0049,1
Group_11,Street,Centroid,100,5.5992,0.2835
Group_11,Street,Random,100,7.2143,0.5496
Group_11,Tract,Baseline,0,11.0049,1
Group_11,Tract,Centroid,100,4.1148,0.2525
Group_11,Tract,Random,100,6.6269,0.4773
Group_12,Grid_100,Baseline,0,11.0523,1
Group_12,Grid_100,Centroid,100,10.6633,0.8827
Group_12,Grid_100,Random,100,10.57,0.8795
Group_12,Grid_300,Baseline,0,11.0523,1
Group_12,Grid_300,Centroid,100,10.5671,0.7101
Group_12,Grid_300,Random,100,9.5015,0.7165
Group_12,Grid_500,Baseline,0,11.0523,1
Group_12,Grid_500,Centroid,100,6.7462,0.4216
Group_12,Grid_500,Random,100,6.8355,0.5556
Group_12,Neighborhood,Baseline,0,11.0523,1
Group_12,Neighborhood,Centroid,100,3.8109,0.0794
Group_12,Neighborhood,Random,100,4.4972,0.3208
