Group,Scale,Type,Error_Percentage,PAI,F1_Score
Group_1,Grid_100,Baseline,0,9.7639,1
Group_1,Grid_300,Baseline,0,9.7639,1
Group_1,Grid_500,Baseline,0,9.7639,1
Group_1,Neighborhood,Baseline,0,9.7639,1
Group_1,Street,Baseline,0,9.7639,1
Group_1,Tract,Baseline,0,9.7639,1
Group_10,Grid_100,Baseline,0,11.4614,1
Group_10,Grid_300,Baseline,0,11.4614,1
Group_10,Grid_500,Baseline,0,11.4614,1
Group_10,Neighborhood,Baseline,0,11.4614,1
Group_10,Street,Baseline,0,11.4614,1
Group_10,Tract,Baseline,0,11.4614,1
Group_11,Grid_100,Baseline,0,11.825,1
Group_11,Grid_300,Baseline,0,11.825,1
Group_11,Grid_500,Baseline,0,11.825,1
Group_11,Neighborhood,Baseline,0,11.825,1
Group_11,Street,Baseline,0,11.825,1
Group_11,Tract,Baseline,0,11.825,1
Group_12,Grid_100,Baseline,0,10.8449,1
Group_12,Grid_300,Baseline,0,10.8449,1
Group_12,Grid_500,Baseline,0,10.8449,1
Group_12,Neighborhood,Baseline,0,10.8449,1
Group_12,Street,Baseline,0,10.8449,1
Group_12,Tract,Baseline,0,10.8449,1
Group_13,Grid_100,Baseline,0,10.9117,1
Group_13,Grid_300,Baseline,0,10.9117,1
Group_13,Grid_500,Baseline,0,10.9117,1
Group_13,Neighborhood,Baseline,0,10.9117,1
Group_13,Street,Baseline,0,10.9117,1
Group_13,Tract,Baseline,0,10.9117,1
Group_14,Grid_100,Baseline,0,11.1337,1
Group_14,Grid_300,Baseline,0,11.1337,1
Group_14,Grid_500,Baseline,0,11.1337,1
Group_14,Neighborhood,Baseline,0,11.1337,1
Group_14,Street,Baseline,0,11.1337,1
Group_14,Tract,Baseline,0,11.1337,1
Group_15,Grid_100,Baseline,0,11.3636,1
Group_15,Grid_300,Baseline,0,11.3636,1
Group_15,Grid_500,Baseline,0,11.3636,1
Group_15,Neighborhood,Baseline,0,11.3636,1
Group_15,Street,Baseline,0,11.3636,1
Group_15,Tract,Baseline,0,11.3636,1
Group_16,Grid_100,Baseline,0,11.3112,1
Group_16,Grid_300,Baseline,0,11.3112,1
Group_16,Grid_500,Baseline,0,11.3112,1
Group_16,Neighborhood,Baseline,0,11.3112,1
Group_16,Street,Baseline,0,11.3112,1
Group_16,Tract,Baseline,0,11.3112,1
Group_2,Grid_100,Baseline,0,11.5129,1
Group_2,Grid_300,Baseline,0,11.5129,1
Group_2,Grid_500,Baseline,0,11.5129,1
Group_2,Neighborhood,Baseline,0,11.5129,1
Group_2,Street,Baseline,0,11.5129,1
Group_2,Tract,Baseline,0,11.5129,1
Group_3,Grid_100,Baseline,0,10.9399,1
Group_3,Grid_300,Baseline,0,10.9399,1
Group_3,Grid_500,Baseline,0,10.9399,1
Group_3,Neighborhood,Baseline,0,10.9399,1
Group_3,Street,Baseline,0,10.9399,1
Group_3,Tract,Baseline,0,10.9399,1
Group_4,Grid_100,Baseline,0,11.0904,1
Group_4,Grid_300,Baseline,0,11.0904,1
Group_4,Grid_500,Baseline,0,11.0904,1
Group_4,Neighborhood,Baseline,0,11.0904,1
Group_4,Street,Baseline,0,11.0904,1
Group_4,Tract,Baseline,0,11.0904,1
Group_5,Grid_100,Baseline,0,8.5671,1
Group_5,Grid_300,Baseline,0,8.5671,1
Group_5,Grid_500,Baseline,0,8.5671,1
Group_5,Neighborhood,Baseline,0,8.5671,1
Group_5,Street,Baseline,0,8.5671,1
Group_5,Tract,Baseline,0,8.5671,1
Group_6,Grid_100,Baseline,0,8.2774,1
Group_6,Grid_300,Baseline,0,8.2774,1
Group_6,Grid_500,Baseline,0,8.2774,1
Group_6,Neighborhood,Baseline,0,8.2774,1
Group_6,Street,Baseline,0,8.2774,1
Group_6,Tract,Baseline,0,8.2774,1
Group_7,Grid_100,Baseline,0,8.7999,1
Group_7,Grid_300,Baseline,0,8.7999,1
Group_7,Grid_500,Baseline,0,8.7999,1
Group_7,Neighborhood,Baseline,0,8.7999,1
Group_7,Street,Baseline,0,8.7999,1
Group_7,Tract,Baseline,0,8.7999,1
Group_8,Grid_100,Baseline,0,8.5424,1
Group_8,Grid_300,Baseline,0,8.5424,1
Group_8,Grid_500,Baseline,0,8.5424,1
Group_8,Neighborhood,Baseline,0,8.5424,1
Group_8,Street,Baseline,0,8.5424,1
Group_8,Tract,Baseline,0,8.5424,1
Group_9,Grid_100,Baseline,0,11.3639,1
Group_9,Grid_300,Baseline,0,11.3639,1
Group_9,Grid_500,Baseline,0,11.3639,1
Group_9,Neighborhood,Baseline,0,11.3639,1
Group_9,Street,Baseline,0,11.3639,1
Group_9,Tract,Baseline,0,11.3639,1
Group_1,Grid_100,Centroid,100,9.2698,0.8787
Group_1,Grid_300,Centroid,100,8.911,0.6795
Group_1,Grid_500,Centroid,100,6.1485,0.4033
Group_1,Neighborhood,Centroid,100,3.2364,0.1166
Group_1,Street,Centroid,100,5.1725,0.3241
Group_1,Tract,Centroid,100,4.2641,0.2791
Group_10,Grid_100,Centroid,100,11.5156,0.8806
Group_10,Grid_300,Centroid,100,10.1779,0.7169
Group_10,Grid_500,Centroid,100,7.0872,0.4146
Group_10,Neighborhood,Centroid,100,2.6259,0.0831
Group_10,Street,Centroid,100,4.6734,0.2648
Group_10,Tract,Centroid,100,4.9546,0.2041
Group_11,Grid_100,Centroid,100,12.1829,0.8835
Group_11,Grid_300,Centroid,100,12.4898,0.7131
Group_11,Grid_500,Centroid,100,7.6871,0.4342
Group_11,Neighborhood,Centroid,100,4.0616,0.092
Group_11,Street,Centroid,100,5.1593,0.2521
Group_11,Tract,Centroid,100,4.6513,0.2278
Group_12,Grid_100,Centroid,100,10.6603,0.8784
Group_12,Grid_300,Centroid,100,10.8113,0.7286
Group_12,Grid_500,Centroid,100,7.863,0.4468
Group_12,Neighborhood,Centroid,100,3.2938,0.1189
Group_12,Street,Centroid,100,5.5037,0.2786
Group_12,Tract,Centroid,100,4.7364,0.2364
Group_13,Grid_100,Centroid,100,11.1824,0.8786
Group_13,Grid_300,Centroid,100,10.4502,0.7032
Group_13,Grid_500,Centroid,100,8.0417,0.4211
Group_13,Neighborhood,Centroid,100,3.4292,0.0804
Group_13,Street,Centroid,100,5.0428,0.3037
Group_13,Tract,Centroid,100,3.5325,0.2603
Group_14,Grid_100,Centroid,100,11.3446,0.8811
Group_14,Grid_300,Centroid,100,11.2694,0.7186
Group_14,Grid_500,Centroid,100,6.549,0.4238
Group_14,Neighborhood,Centroid,100,3.25,0.0784
Group_14,Street,Centroid,100,4.6095,0.3128
Group_14,Tract,Centroid,100,5.5291,0.2433
Group_15,Grid_100,Centroid,100,11.1213,0.8696
Group_15,Grid_300,Centroid,100,10.6067,0.7057
Group_15,Grid_500,Centroid,100,6.4713,0.4138
Group_15,Neighborhood,Centroid,100,2.8912,0.0852
Group_15,Street,Centroid,100,6.2267,0.2942
Group_15,Tract,Centroid,100,4.0561,0.2487
Group_16,Grid_100,Centroid,100,11.5007,0.8754
Group_16,Grid_300,Centroid,100,10.982,0.7056
Group_16,Grid_500,Centroid,100,7.1892,0.3974
Group_16,Neighborhood,Centroid,100,3.9489,0.0745
Group_16,Street,Centroid,100,7.3853,0.3023
Group_16,Tract,Centroid,100,4.6379,0.2522
Group_2,Grid_100,Centroid,100,10.7145,0.8804
Group_2,Grid_300,Centroid,100,9.4627,0.6686
Group_2,Grid_500,Centroid,100,6.8977,0.4033
Group_2,Neighborhood,Centroid,100,3.7507,0.0954
Group_2,Street,Centroid,100,8.0155,0.3189
Group_2,Tract,Centroid,100,4.4531,0.2814
Group_3,Grid_100,Centroid,100,10.6554,0.8796
Group_3,Grid_300,Centroid,100,9.0952,0.6849
Group_3,Grid_500,Centroid,100,6.7711,0.4116
Group_3,Neighborhood,Centroid,100,4.8206,0.0969
Group_3,Street,Centroid,100,8.9419,0.3151
Group_3,Tract,Centroid,100,4.3293,0.2676
Group_4,Grid_100,Centroid,100,11.1484,0.8857
Group_4,Grid_300,Centroid,100,10.0698,0.692
Group_4,Grid_500,Centroid,100,7.3778,0.4264
Group_4,Neighborhood,Centroid,100,3.6827,0.0954
Group_4,Street,Centroid,100,6.5333,0.3293
Group_4,Tract,Centroid,100,2.7474,0.2822
Group_5,Grid_100,Centroid,100,9.1163,0.881
Group_5,Grid_300,Centroid,100,7.9105,0.7057
Group_5,Grid_500,Centroid,100,5.3794,0.3852
Group_5,Neighborhood,Centroid,100,4.2985,0.0839
Group_5,Street,Centroid,100,5.7306,0.3143
Group_5,Tract,Centroid,100,3.4371,0.2141
Group_6,Grid_100,Centroid,100,8.5101,0.8765
Group_6,Grid_300,Centroid,100,7.4926,0.6791
Group_6,Grid_500,Centroid,100,5.5297,0.3607
Group_6,Neighborhood,Centroid,100,2.4699,0.099
Group_6,Street,Centroid,100,5.2297,0.2758
Group_6,Tract,Centroid,100,4.2058,0.1995
Group_7,Grid_100,Centroid,100,8.7658,0.8766
Group_7,Grid_300,Centroid,100,7.606,0.6856
Group_7,Grid_500,Centroid,100,5.7746,0.3937
Group_7,Neighborhood,Centroid,100,3.8026,0.0993
Group_7,Street,Centroid,100,5.3886,0.2553
Group_7,Tract,Centroid,100,4.3491,0.2129
Group_8,Grid_100,Centroid,100,8.7349,0.8755
Group_8,Grid_300,Centroid,100,8.4363,0.6591
Group_8,Grid_500,Centroid,100,4.8935,0.3918
Group_8,Neighborhood,Centroid,100,2.1178,0.1071
Group_8,Street,Centroid,100,5.7155,0.2895
Group_8,Tract,Centroid,100,2.8441,0.2135
Group_9,Grid_100,Centroid,100,11.8737,0.8855
Group_9,Grid_300,Centroid,100,11.0377,0.716
Group_9,Grid_500,Centroid,100,7.8474,0.4161
Group_9,Neighborhood,Centroid,100,2.6998,0.0905
Group_9,Street,Centroid,100,5.3644,0.2701
Group_9,Tract,Centroid,100,3.4037,0.2097
Group_1,Grid_100,Random,100,9.0661,0.8655
Group_1,Grid_300,Random,100,8.0967,0.6692
Group_1,Grid_500,Random,100,6.4224,0.5027
Group_1,Neighborhood,Random,100,4.1103,0.326
Group_1,Street,Random,100,6.225,0.5201
Group_1,Tract,Random,100,5.8856,0.4546
Group_10,Grid_100,Random,100,11.5855,0.8777
Group_10,Grid_300,Random,100,9.9058,0.6905
Group_10,Grid_500,Random,100,7.2052,0.5207
Group_10,Neighborhood,Random,100,4.5696,0.2784
Group_10,Street,Random,100,7.6972,0.4754
Group_10,Tract,Random,100,6.1677,0.4075
Group_11,Grid_100,Random,100,12.1038,0.8785
Group_11,Grid_300,Random,100,10.8603,0.6972
Group_11,Grid_500,Random,100,7.8595,0.5416
Group_11,Neighborhood,Random,100,5.3467,0.2896
Group_11,Street,Random,100,7.4124,0.4839
Group_11,Tract,Random,100,7.2608,0.4101
Group_12,Grid_100,Random,100,10.7309,0.8739
