Group,Scale,Type,Error_Percentage,PAI_mean,PAI_std,F1_Score_mean,F1_Score_std,,Scale2
Group_1,G_100,Centroid,5,10.3088,0.0225,0.9942,0.001,,Grid_100
Group_1,G_100,Centroid,10,10.3008,0.0306,0.9893,0.0012,,Grid_100
Group_1,G_100,Centroid,15,10.2997,0.0373,0.9843,0.0014,,Grid_100
Group_1,G_100,Centroid,20,10.2931,0.0415,0.9796,0.0015,,Grid_100
Group_1,G_100,Centroid,25,10.2844,0.0439,0.9749,0.0014,,Grid_100
Group_1,G_100,Centroid,30,10.2707,0.0541,0.9708,0.002,,Grid_100
Group_1,G_100,Centroid,35,10.2707,0.0578,0.9666,0.0018,,Grid_100
Group_1,G_100,Centroid,40,10.2648,0.0665,0.9624,0.0016,,Grid_100
Group_1,G_100,Centroid,45,10.2329,0.0738,0.9574,0.0019,,Grid_100
Group_1,G_100,Centroid,50,10.2124,0.0869,0.9532,0.0018,,Grid_100
Group_1,G_100,Deletion,5,10.2703,0.1195,0.9738,0.0031,,Grid_100
Group_1,G_100,Deletion,10,10.3193,0.1295,0.9612,0.004,,Grid_100
Group_1,G_100,Deletion,15,10.3732,0.1646,0.9503,0.005,,Grid_100
Group_1,G_100,Deletion,20,10.3495,0.2146,0.9404,0.0057,,Grid_100
Group_1,G_100,Deletion,25,10.3535,0.1929,0.9299,0.0066,,Grid_100
Group_1,G_100,Deletion,30,10.3495,0.2349,0.9208,0.0084,,Grid_100
Group_1,G_100,Deletion,35,10.2857,0.2088,0.9106,0.0089,,Grid_100
Group_1,G_100,Deletion,40,10.2462,0.2239,0.901,0.009,,Grid_100
Group_1,G_100,Deletion,45,10.2941,0.2483,0.8892,0.0094,,Grid_100
Group_1,G_100,Deletion,50,10.2556,0.2842,0.8791,0.0118,,Grid_100
Group_1,G_100,Random,5,10.3037,0.0325,0.992,0.0013,,Grid_100
Group_1,G_100,Random,10,10.2864,0.0417,0.9867,0.0016,,Grid_100
Group_1,G_100,Random,15,10.2718,0.0534,0.9817,0.0018,,Grid_100
Group_1,G_100,Random,20,10.2644,0.0593,0.9768,0.0018,,Grid_100
Group_1,G_100,Random,25,10.2355,0.0749,0.972,0.0022,,Grid_100
Group_1,G_100,Random,30,10.2282,0.0728,0.9671,0.0024,,Grid_100
Group_1,G_100,Random,35,10.1954,0.0938,0.9629,0.0025,,Grid_100
Group_1,G_100,Random,40,10.1665,0.0871,0.9579,0.0027,,Grid_100
Group_1,G_100,Random,45,10.1525,0.1063,0.9533,0.0026,,Grid_100
Group_1,G_100,Random,50,10.119,0.0982,0.9487,0.0027,,Grid_100
Group_1,G_300,Centroid,5,10.2307,0.0737,0.9828,0.002,,Grid_300
Group_1,G_300,Centroid,10,10.1921,0.0888,0.9703,0.0025,,Grid_300
