Group,Scale,Type,Error_Percentage,PAI_mean,PAI_std,F1_Score_mean,F1_Score_std,Scale2
Group_1,G_100,Centroid,5,9.7176,0.0594,0.9901,0.0015,Grid_100
Group_1,G_100,Centroid,10,9.6854,0.0509,0.9822,0.0019,Grid_100
Group_1,G_100,Centroid,15,9.6603,0.0642,0.9751,0.0027,Grid_100
Group_1,G_100,Centroid,20,9.6389,0.0784,0.9686,0.0026,Grid_100
Group_1,G_100,Centroid,25,9.6194,0.0784,0.9628,0.0028,Grid_100
Group_1,G_100,Centroid,30,9.5914,0.0871,0.9571,0.0026,Grid_100
Group_1,G_100,Centroid,35,9.5451,0.0942,0.951,0.0029,Grid_100
Group_1,G_100,Centroid,40,9.5243,0.0926,0.9448,0.0036,Grid_100
Group_1,G_100,Centroid,45,9.4955,0.0888,0.9396,0.0031,Grid_100
Group_1,G_100,Centroid,50,9.4449,0.1063,0.9335,0.003,Grid_100
Group_1,G_100,Deletion,5,9.5659,0.1628,0.9468,0.0049,Grid_100
Group_1,G_100,Deletion,10,9.6796,0.2544,0.9186,0.0059,Grid_100
Group_1,G_100,Deletion,15,9.6416,0.3005,0.8997,0.0086,Grid_100
Group_1,G_100,Deletion,20,9.4876,0.3043,0.8814,0.0103,Grid_100
Group_1,G_100,Deletion,25,9.3938,0.3558,0.8643,0.0107,Grid_100
Group_1,G_100,Deletion,30,9.3342,0.3557,0.8444,0.0122,Grid_100
Group_1,G_100,Deletion,35,9.3859,0.3796,0.8304,0.0128,Grid_100
Group_1,G_100,Deletion,40,9.2791,0.4996,0.811,0.0151,Grid_100
Group_1,G_100,Deletion,45,9.1109,0.4003,0.7927,0.0166,Grid_100
Group_1,G_100,Deletion,50,8.9817,0.4208,0.7713,0.018,Grid_100
Group_1,G_100,Random,5,9.7021,0.062,0.9871,0.0023,Grid_100
Group_1,G_100,Random,10,9.6746,0.0672,0.9772,0.0029,Grid_100
Group_1,G_100,Random,15,9.6403,0.0905,0.9684,0.0032,Grid_100
Group_1,G_100,Random,20,9.6077,0.1154,0.9609,0.0035,Grid_100
Group_1,G_100,Random,25,9.5841,0.0967,0.9548,0.0036,Grid_100
Group_1,G_100,Random,30,9.5357,0.1216,0.9477,0.0036,Grid_100
Group_1,G_100,Random,35,9.4956,0.1296,0.941,0.0043,Grid_100
Group_1,G_100,Random,40,9.4415,0.1408,0.9349,0.0048,Grid_100
Group_1,G_100,Random,45,9.4063,0.1361,0.9293,0.0043,Grid_100
Group_1,G_100,Random,50,9.38,0.1362,0.9233,0.0043,Grid_100
Group_1,G_300,Centroid,5,9.5999,0.1173,0.9723,0.0035,Grid_300
Group_1,G_300,Centroid,10,9.4941,0.1515,0.9511,0.0044,Grid_300
Group_1,G_300,Centroid,15,9.4028,0.2026,0.9323,0.0058,Grid_300
Group_1,G_300,Centroid,20,9.3247,0.2041,0.9156,0.0056,Grid_300
Group_1,G_300,Centroid,25,9.2616,0.2435,0.8993,0.0065,Grid_300
Group_1,G_300,Centroid,30,9.168,0.2105,0.8844,0.0064,Grid_300
Group_1,G_300,Centroid,35,9.1161,0.2354,0.8698,0.0071,Grid_300
Group_1,G_300,Centroid,40,9.0606,0.2732,0.8557,0.0071,Grid_300
Group_1,G_300,Centroid,45,9.0087,0.258,0.8426,0.0071,Grid_300
Group_1,G_300,Centroid,50,8.9609,0.2709,0.8263,0.0068,Grid_300
Group_1,G_300,Deletion,5,9.5659,0.1628,0.9468,0.0049,Grid_300
Group_1,G_300,Deletion,10,9.6796,0.2544,0.9186,0.0059,Grid_300
Group_1,G_300,Deletion,15,9.6416,0.3005,0.8997,0.0086,Grid_300
Group_1,G_300,Deletion,20,9.4876,0.3043,0.8814,0.0103,Grid_300
Group_1,G_300,Deletion,25,9.3938,0.3558,0.8643,0.0107,Grid_300
Group_1,G_300,Deletion,30,9.3342,0.3557,0.8444,0.0122,Grid_300
Group_1,G_300,Deletion,35,9.3859,0.3796,0.8304,0.0128,Grid_300
Group_1,G_300,Deletion,40,9.2791,0.4996,0.811,0.0151,Grid_300
Group_1,G_300,Deletion,45,9.1109,0.4003,0.7927,0.0166,Grid_300
